origin,destination,year,month,market_passengers,avg_fare_usd
SYD,AKL,2024,9,50819,234.18
SYD,AKL,2024,10,58850,256.32
SYD,AKL,2024,11,59142,247.0
SYD,AKL,2024,12,66164,252.28
SYD,DAD,2022,1,68,482.33
SYD,DAD,2022,2,111,487.3
SYD,DAD,2022,3,111,434.61
SYD,DAD,2022,4,320,487.76
SYD,DAD,2022,5,387,477.13
SYD,DAD,2022,6,591,490.69
SYD,DAD,2022,7,920,454.62
SYD,DAD,2022,8,751,477.98
SYD,DAD,2022,9,838,463.94
SYD,DAD,2022,10,903,509.53
SYD,DAD,2022,11,1011,517.9
SYD,DAD,2022,12,1151,492.85
SYD,DAD,2023,1,1247,507.63
SYD,DAD,2023,2,937,492.95
SYD,DAD,2023,3,991,484.95
SYD,DAD,2023,4,1238,475.36
SYD,DAD,2023,5,1167,495.07
SYD,DAD,2023,6,1303,513.85
SYD,DAD,2023,7,1466,513.45
SYD,DAD,2023,8,1332,497.53
SYD,DAD,2023,9,1429,488.53
SYD,DAD,2023,10,1381,511.59
SYD,DAD,2023,11,1266,478.64
SYD,DAD,2023,12,1549,474.59
SYD,DAD,2024,1,1654,520.25
SYD,DAD,2024,2,1435,526.35
SYD,DAD,2024,3,1382,520.09
SYD,DAD,2024,4,1412,522.34
SYD,DAD,2024,5,1164,471.43
SYD,DAD,2024,6,1361,525.98
SYD,DAD,2024,7,1643,544.17
SYD,DAD,2024,8,1274,531.24
SYD,DAD,2024,9,1410,530.56
SYD,DAD,2024,10,1564,518.62
SYD,DAD,2024,11,1406,519.39
SYD,DAD,2024,12,1627,510.8
